,Country,Year,Density,
Region/Country/Area,,Year,Series,Value
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"6,985.60"
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,514.41"
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,471.20"
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.2
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.1
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.1
1,"Total, all countries or areas",2010,Population density,53.6
1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,426.60"
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,737.40"
1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,689.19"
1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.3
1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.4
1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.3
1,"Total, all countries or areas",2015,Population density,57
1,"Total, all countries or areas",2021,Population mid-year estimates (millions),"7,909.30"
1,"Total, all countries or areas",2021,Population mid-year estimates for males (millions),"3,976.65"
1,"Total, all countries or areas",2021,Population mid-year estimates for females (millions),"3,932.65"
1,"Total, all countries or areas",2021,Sex ratio (males per 100 females),101.1
1,"Total, all countries or areas",2021,Population aged 0 to 14 years old (percentage),25.5
1,"Total, all countries or areas",2021,Population aged 60+ years old (percentage),13.7
1,"Total, all countries or areas",2021,Population density,60.7
1,"Total, all countries or areas",2021,Surface area (thousand km2),"130,094"
1,"Total, all countries or areas",2022,Population mid-year estimates (millions),"7,975.11"
1,"Total, all countries or areas",2022,Population mid-year estimates for males (millions),"4,008.58"
1,"Total, all countries or areas",2022,Population mid-year estimates for females (millions),"3,966.53"
1,"Total, all countries or areas",2022,Sex ratio (males per 100 females),101.1
1,"Total, all countries or areas",2022,Population aged 0 to 14 years old (percentage),25.3
1,"Total, all countries or areas",2022,Population aged 60+ years old (percentage),13.9
1,"Total, all countries or areas",2022,Population density,61.2
2,Africa,2010,Population mid-year estimates (millions),"1,055.23"
2,Africa,2010,Population mid-year estimates for males (millions),525.87
2,Africa,2010,Population mid-year estimates for females (millions),529.37
2,Africa,2010,Sex ratio (males per 100 females),99.3
2,Africa,2010,Population aged 0 to 14 years old (percentage),41.5
2,Africa,2010,Population aged 60+ years old (percentage),5
2,Africa,2010,Population density,35.7
2,Africa,2015,Population mid-year estimates (millions),"1,201.11"
2,Africa,2015,Population mid-year estimates for males (millions),599.3
2,Africa,2015,Population mid-year estimates for females (millions),601.81
2,Africa,2015,Sex ratio (males per 100 females),99.6
2,Africa,2015,Population aged 0 to 14 years old (percentage),41.3
2,Africa,2015,Population aged 60+ years old (percentage),5.2
2,Africa,2015,Population density,40.6
2,Africa,2021,Population mid-year estimates (millions),"1,393.68"
2,Africa,2021,Population mid-year estimates for males (millions),695.88
2,Africa,2021,Population mid-year estimates for females (millions),697.79
2,Africa,2021,Sex ratio (males per 100 females),99.7
2,Africa,2021,Population aged 0 to 14 years old (percentage),40.3
2,Africa,2021,Population aged 60+ years old (percentage),5.4
2,Africa,2021,Population density,47.2
2,Africa,2021,Surface area (thousand km2),"29,648"
2,Africa,2022,Population mid-year estimates (millions),"1,426.74"
2,Africa,2022,Population mid-year estimates for males (millions),712.43
2,Africa,2022,Population mid-year estimates for females (millions),714.31
2,Africa,2022,Sex ratio (males per 100 females),99.7
2,Africa,2022,Population aged 0 to 14 years old (percentage),40.1
2,Africa,2022,Population aged 60+ years old (percentage),5.5
2,Africa,2022,Population density,48.3
15,Northern Africa,2010,Population mid-year estimates (millions),207.11
15,Northern Africa,2010,Population mid-year estimates for males (millions),104.59
15,Northern Africa,2010,Population mid-year estimates for females (millions),102.52
15,Northern Africa,2010,Sex ratio (males per 100 females),102
15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),32.4
15,Northern Africa,2010,Population aged 60+ years old (percentage),6.6
15,Northern Africa,2010,Population density,26.9
15,Northern Africa,2015,Population mid-year estimates (millions),228.36
15,Northern Africa,2015,Population mid-year estimates for males (millions),115.31
15,Northern Africa,2015,Population mid-year estimates for females (millions),113.05
15,Northern Africa,2015,Sex ratio (males per 100 females),102
15,Northern Africa,2015,Population aged 0 to 14 years old (percentage),32.8
15,Northern Africa,2015,Population aged 60+ years old (percentage),7.3
15,Northern Africa,2015,Population density,29.7
15,Northern Africa,2021,Population mid-year estimates (millions),255.74
15,Northern Africa,2021,Population mid-year estimates for males (millions),129.02
15,Northern Africa,2021,Population mid-year estimates for females (millions),126.72
15,Northern Africa,2021,Sex ratio (males per 100 females),101.8
15,Northern Africa,2021,Population aged 0 to 14 years old (percentage),32.7
15,Northern Africa,2021,Population aged 60+ years old (percentage),8.4
15,Northern Africa,2021,Population density,33.3
15,Northern Africa,2021,Surface area (thousand km2),"7,769"
15,Northern Africa,2022,Population mid-year estimates (millions),259.97
15,Northern Africa,2022,Population mid-year estimates for males (millions),131.12
15,Northern Africa,2022,Population mid-year estimates for females (millions),128.85
15,Northern Africa,2022,Sex ratio (males per 100 females),101.8
15,Northern Africa,2022,Population aged 0 to 14 years old (percentage),32.5
15,Northern Africa,2022,Population aged 60+ years old (percentage),8.5
15,Northern Africa,2022,Population density,33.8
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),848.12
202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),421.27
202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),426.85
202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),98.7
202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.7
202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6
202,Sub-Saharan Africa,2010,Population density,38.8
202,Sub-Saharan Africa,2015,Population mid-year estimates (millions),972.75
202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),483.99
202,Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),488.76
202,Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99
202,Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2
202,Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.7
202,Sub-Saharan Africa,2015,Population density,44.5
202,Sub-Saharan Africa,2021,Population mid-year estimates (millions),"1,137.94"
202,Sub-Saharan Africa,2021,Population mid-year estimates for males (millions),566.87
202,Sub-Saharan Africa,2021,Population mid-year estimates for females (millions),571.07
202,Sub-Saharan Africa,2021,Sex ratio (males per 100 females),99.3
202,Sub-Saharan Africa,2021,Population aged 0 to 14 years old (percentage),42.1
202,Sub-Saharan Africa,2021,Population aged 60+ years old (percentage),4.8
202,Sub-Saharan Africa,2021,Population density,52
202,Sub-Saharan Africa,2021,Surface area (thousand km2),"21,879"
202,Sub-Saharan Africa,2022,Population mid-year estimates (millions),"1,166.77"
202,Sub-Saharan Africa,2022,Population mid-year estimates for males (millions),581.31
202,Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),585.46
202,Sub-Saharan Africa,2022,Sex ratio (males per 100 females),99.3
202,Sub-Saharan Africa,2022,Population aged 0 to 14 years old (percentage),41.8
202,Sub-Saharan Africa,2022,Population aged 60+ years old (percentage),4.8
202,Sub-Saharan Africa,2022,Population density,53.4
14,Eastern Africa,2010,Population mid-year estimates (millions),342.74
14,Eastern Africa,2010,Population mid-year estimates for males (millions),169.6
14,Eastern Africa,2010,Population mid-year estimates for females (millions),173.15
14,Eastern Africa,2010,Sex ratio (males per 100 females),97.9
14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),45
14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.1
14,Eastern Africa,2010,Population density,51.5
